"MasterFundCode","FullName","InceptionDate","Category"
"000464","嘉实活期宝货币市场基金","2013-12-18","货币型基金"
"000465","景顺长城鑫月薪定期支付债券型证券投资基金","2014-03-20","债券型基金"
"000466","融通通瑞一年目标触发式债券型证券投资基金","2014-03-21","债券型基金"
"000466","融通通瑞债券型证券投资基金","2014-11-14","债券型基金"
"000467","信诚惠报债券型证券投资基金","2016-04-07","债券型基金"
"000469","富国目标齐利一年期纯债债券型证券投资基金","2014-07-25","债券型基金"
"000471","富国城镇发展股票型证券投资基金","2014-01-28","股票型基金"
"000473","广发集鑫债券型证券投资基金","2014-01-27","债券型基金"
"000475","广发天天利货币市场基金","2014-01-27","货币型基金"
"000477","广发主题领先灵活配置混合型证券投资基金","2014-07-31","混合型基金"
"000478","建信中证500指数增强型证券投资基金","2014-01-27","股票型基金"
"000480","东方红新动力灵活配置混合型证券投资基金","2014-01-28","混合型基金"
"000483","鑫元货币市场基金","2013-12-30","货币型基金"
"000485","嘉实1个月理财债券型证券投资基金","2013-12-24","债券型基金"
"000487","嘉实3个月理财债券型证券投资基金","2014-06-27","债券型基金"
"000489","光大保德信岁末红利纯债债券型证券投资基金","2014-08-12","债券型基金"
"000493","南方现金通货币市场基金","2014-01-21","货币型基金"
"000496","长安产业精选灵活配置混合型发起式证券投资基金","2014-05-07","混合型基金"
"000497","财通纯债分级债券型证券投资基金","2014-01-17","债券型基金"
"000497","财通纯债债券型证券投资基金","2016-01-19","债券型基金"
"000500","华富恒富分级债券型证券投资基金","2014-03-19","债券型基金"
"000502","华富恒富18个月定期开放债券型证券投资基金","2017-11-22","债券型基金"
"000503","中信建投景和中短债债券型证券投资基金","2014-01-27","债券型基金"
"000505","国寿安保货币市场基金","2014-01-20","货币型基金"
"000507","泰达宏利宏达混合型证券投资基金","2014-03-05","混合型基金"
"000509","广发钱袋子货币市场基金","2014-01-10","货币型基金"
"000510","诺安永鑫收益一年定期开放债券型证券投资基金","2014-06-24","债券型基金"
"000511","国泰国策驱动灵活配置混合型证券投资基金","2014-02-17","混合型基金"
"000512","国泰沪深300指数增强型证券投资基金","2014-05-19","股票型基金"
"000513","富国高端制造行业股票型证券投资基金","2014-06-20","股票型基金"
"000516","富国祥利一年期定期开放债券型证券投资基金","2017-08-30","债券型基金"
"000520","上银新兴价值成长混合型证券投资基金","2014-05-06","混合型基金"
"000521","诺安瑞鑫定期开放债券型发起式证券投资基金","2017-12-28","债券型基金"
"000522","华润元大信息传媒科技混合型证券投资基金","2014-03-31","混合型基金"
"000523","国投瑞银医疗保健行业灵活配置混合型证券投资基金","2014-02-25","混合型基金"
"000524","上投摩根民生需求股票型证券投资基金","2014-03-14","股票型基金"
"000526","国泰浓益灵活配置混合型证券投资基金","2014-03-04","混合型基金"
"000527","南方新优享灵活配置混合型证券投资基金","2014-02-26","混合型基金"
"000528","工银瑞信薪金货币市场基金","2014-01-27","货币型基金"
"000529","广发竞争优势灵活配置混合型证券投资基金","2014-03-12","混合型基金"
"000530","招商丰盛稳定增长灵活配置混合型证券投资基金","2014-03-20","混合型基金"
"000531","东吴阿尔法灵活配置混合型证券投资基金","2014-03-19","混合型基金"
"000532","景顺长城优势企业混合型证券投资基金","2014-03-19","混合型基金"
"000533","永赢货币市场基金","2014-02-27","货币型基金"
"000534","长盛高端装备制造灵活配置混合型证券投资基金","2014-03-25","混合型基金"
"000535","长盛航天海工装备灵活配置混合型证券投资基金","2014-03-11","混合型基金"
"000536","前海开源可转债债券型发起式证券投资基金","2014-03-25","债券型基金"
"000538","诺安优势行业灵活配置混合型证券投资基金","2014-03-13","混合型基金"
"000539","中银活期宝货币市场基金","2014-02-14","货币型基金"
"000540","国金金腾通货币市场证券投资基金","2014-02-17","货币型基金"
"000541","华商创新成长灵活配置混合型发起式证券投资基金","2014-03-18","混合型基金"
"000542","上银慧财宝货币市场基金","2014-02-27","货币型基金"
"000545","中邮核心竞争力灵活配置混合型证券投资基金","2014-04-23","混合型基金"
"000546","兴业定期开放债券型证券投资基金","2014-03-13","债券型基金"
"000547","建信健康民生混合型证券投资基金","2014-03-21","混合型基金"
"000548","鹏华聚财通货币市场基金","2017-05-18","货币型基金"
"000549","华安大国新经济股票型证券投资基金","2014-04-14","股票型基金"
"000550","广发新动力混合型证券投资基金","2014-03-19","混合型基金"
"000551","信诚幸福消费混合型证券投资基金","2014-04-29","混合型基金"
"000552","中加纯债一年定期开放债券型证券投资基金","2014-03-24","债券型基金"
"000554","中国梦灵活配置混合型证券投资基金","2014-06-09","混合型基金"
"000556","国投瑞银新机遇灵活配置混合型证券投资基金","2014-03-11","混合型基金"
